"Name";"ipv4address";"Domain";"location";"canonicalname";"description";"operatingsystem"
"PLWATM01";"10.10.1.41";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM01";"TS for WA (POLAND)";"Windows Server 2012 R2 Datacenter"
"PLWATM08";"10.10.1.48";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM08";"TS for AP (Symfonia FKF 2008)";"Windows Server 2012 R2 Datacenter"
"PLWATM10";"10.10.1.50";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM10";"TS for LLS (UK)";"Windows Server 2012 R2 Datacenter"
"PLWATM21";"10.10.1.81";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/PLWATM21";"TS for VFS (RAKS)";"Windows Server 2012 R2 Datacenter"
"PWADB01";;"Error";"";"";"";""
"WASRVLG002";;"Error";"";"";"";""
"WASRVOVS001";;"Error";"";"";"";""
"WASRVTS001";;"Error";"";"";"";""
"WAWRKCLN001";;"Error";"";"";"";""
"WAWSRVAP02";;"Error";"";"";"";""
"WAWSRVAP03";;"Error";"";"";"";""
"WAWSRVAP04";;"Error";"";"";"";""
"WAWSRVARC001";"10.10.10.191";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVARC001";"VCS - Archive Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVCLN001";;"Error";"";"";"";""
"WAWSRVCLN001";;"Error";"";"";"";""
"WAWSRVCLN002";"10.14.1.42";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVCLN002";"VCS - Client Server - Romanian Exact Globe";"Windows Server 2012 R2 Datacenter"
"WAWSRVCLN002";"10.14.1.42";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVCLN002";"VCS - Client Server - Romanian Exact Globe";"Windows Server 2012 R2 Datacenter"
"WAWSRVCLN003";"10.14.1.43";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVCLN003";"VCS - Client Server - Hungary Exact Globe";"Windows Server 2012 R2 Datacenter"
"WAWSRVCLN003";"10.14.1.43";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVCLN003";"VCS - Client Server - Hungary Exact Globe";"Windows Server 2012 R2 Datacenter"
"WAWSRVCLN004";;"Error";"";"";"";""
"WAWSRVCLN004";;"Error";"";"";"";""
"WAWSRVDC001";"10.10.10.110";"work.local";;"work.local/Domain Controllers/WAWSRVDC001";"Warsaw Domain Controller - Datacentre (2012 R2)";"Windows Server 2012 R2 Datacenter"
"WAWSRVDMS001";"10.14.1.51";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVDMS001";"VCS - API for Yooz DMS Poland";"Windows Server 2012 R2 Datacenter"
"WAWSRVDMS001";"10.14.1.51";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVDMS001";"VCS - API for Yooz DMS Poland";"Windows Server 2012 R2 Datacenter"
"WAWSRVDMS002";;"Error";"";"";"";""
"WAWSRVDMS003";"10.14.1.53";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVDMS003";"VCS - API for Yooz DMS Romania";"Windows Server 2012 R2 Datacenter"
"WAWSRVDMS003";"10.14.1.53";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVDMS003";"VCS - API for Yooz DMS Romania";"Windows Server 2012 R2 Datacenter"
"WAWSRVDMS004";"10.14.1.54";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVDMS004";;"Windows Server 2012 R2 Datacenter"
"WAWSRVDMS004";"10.14.1.54";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVDMS004";;"Windows Server 2012 R2 Datacenter"
"WAWSRVFOG001";;"Error";"";"";"";""
"WAWSRVFS001";"10.10.10.31";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVFS001";"VCS - File Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVFS002";"10.10.10.32";"work.local";"WarsawDC";"work.local/Vistra/CEE/Servers/VFS/WAWSRVFS002";"VFS - File Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVFTP001";"10.10.1.30";"Error";"";"";"";""
"WAWSRVGIT001";;"Error";"";"";"";""
"WAWSRVGIT002";;"Error";"";"";"";""
"WAWSRVHR001";;"Error";"";"";"";""
"WAWSRVHR012";"10.14.1.29";"trinitycs.com";;"trinitycs.com/CEE_HOSTS/SERVERS/VCS/DC/VM/WAWSRVHR012";"ENOVA365 Server #2 (Business Server) - TEST";"Windows Server 2012 R2 Datacenter"
"WAWSRVLG001";"10.10.10.71";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVLG001";"VCS - GFI LanGuard node 1/2";"Windows Server 2012 R2 Datacenter"
"WAWSRVOVS002";;"Error";"";"";"";""
"WAWSRVSQL001";"10.10.10.21";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL001";"VCS - SQL 2016 Standard Server for Warsaw (PL)";"Windows Server 2012 R2 Datacenter"
"WAWSRVSQL002";"10.10.10.22";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL002";"VCS - SQL 2016 Standard Server for Warsaw (PL)";"Windows Server 2012 R2 Datacenter"
"WAWSRVSQL006";"10.10.10.26";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL006";"VCS - SQL 2016 Standard Server for Bucharest (RO)";"Windows Server 2012 R2 Datacenter"
"WAWSRVSQL007";"10.10.10.27";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL007";"VCS - SQL 2016 Standard Server for Sofia (BG)";"Windows Server 2012 R2 Datacenter"
"WAWSRVSQL008";"10.10.10.28";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL008";"VCS - SQL 2016 Standard Server for Budapest (HU)";"Windows Server 2012 R2 Datacenter"
"WAWSRVSQL009";"10.10.10.29";"work.local";;"work.local/Vistra/CEE/Servers/VCS/WAWSRVSQL009";"VCS - SQL 2016 Standard Server for Prague (CZ)";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM001";"10.10.10.41";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM001";"VCS - Warsaw Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM002";"10.10.10.42";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM002";"VCS - Krakow Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM003";"10.10.10.43";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM003";"VCS - Wroclaw Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM004";"10.10.10.44";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM004";"VCS - Poznan Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM005";"10.10.10.45";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM005";"VCS - Lublin Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM006";"10.10.10.46";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM006";"VCS - Bucharest Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM007";"10.10.10.47";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM007";"VCS - Sofia Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM008";"10.10.10.48";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM008";"VCS - Budapest Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVTM009";"10.10.10.49";"work.local";;"work.local/Vistra/CEE/Servers/VCS/RDS/WAWSRVTM009";"VCS - Prague & Bratislava Terminal Server";"Windows Server 2012 R2 Datacenter"
"WAWSRVWWW001";;"Error";"";"";"";""
